report_date,channel,spend_30d,conv_value_30d,roas_30d,daily_budget_total,budget_share
2026-07-03,2,64577.22,481415.13,7.455,27800.0,0.3613
2026-07-03,10,472677.57,3271036.9,6.92,45600.0,0.5926
2026-07-03,14,50193.02,152160.12,3.031,3450.0,0.0448
2026-07-03,6,3032.79,0.0,0.0,100.0,0.0013
