report_date,month_day,month_days,monthly_budget,spend_mtd,spend_expected,pacing_ratio,forecast_month_end,remaining_budget,forecast_ratio_vs_budget
2026-05-28,28,31,575000.0,473079.6686993548,519354.8387096774,0.910898740973913,523766.77606,101920.3313006452,0.9108987409739131
2026-05-29,29,31,575000.0,484356.1849704515,537903.2258064516,0.9004522779060867,517760.0597959999,90643.81502954848,0.9004522779060867
2026-05-30,30,31,575000.0,492867.8228235484,556451.6129032258,0.8857334786973913,509296.75025100005,82132.1771764516,0.8857334786973914
2026-05-31,31,31,575000.0,510989.80603599997,575000.0,0.8886779235408695,510989.8060359999,64010.193964000035,0.8886779235408694
2026-06-01,1,30,575000.0,17192.946151433334,19166.666666666668,0.8970232774660869,515788.384543,557807.0538485667,0.897023277466087
2026-06-02,2,30,575000.0,35057.36848526667,38333.333333333336,0.9145400474417391,525860.527279,539942.6315147333,0.9145400474417392
2026-06-03,3,30,575000.0,52999.96806740001,57500.0,0.9217385750852176,529999.6806740002,522000.03193259996,0.9217385750852177
2026-06-04,4,30,575000.0,71344.37544226667,76666.66666666667,0.9305788101165217,535082.815817,503655.6245577333,0.9305788101165218
2026-06-05,5,30,575000.0,89169.70598316666,95833.33333333333,0.9304664972156521,535018.235899,485830.29401683336,0.9304664972156521
2026-06-06,6,30,575000.0,106070.11873320001,115000.0,0.9223488585495653,530350.5936660001,468929.8812668,0.9223488585495653
2026-06-07,7,30,575000.0,123298.33221346667,134166.66666666666,0.9189937804730436,528421.423772,451701.66778653336,0.9189937804730435
2026-06-08,8,30,575000.0,142301.4173656,153333.33333333334,0.9280527219495652,533630.315121,432698.5826344,0.9280527219495653
2026-06-09,9,30,575000.0,161148.42566759998,172500.0,0.9341937719860869,537161.418892,413851.5743324,0.9341937719860869
2026-06-10,10,30,575000.0,177799.27536433333,191666.66666666666,0.9276483932052174,533397.826093,397200.7246356667,0.9276483932052174
2026-06-11,11,30,575000.0,195501.78605429997,210833.3333333333,0.9272811986765217,533186.6892389999,379498.21394570003,0.9272811986765215
2026-06-12,12,30,575000.0,211760.0903112,230000.0,0.9206960448313044,529400.225778,363239.9096888,0.9206960448313043
2026-06-13,13,30,575000.0,227086.51611056668,249166.6666666667,0.9113840111460869,524045.806409,347913.4838894333,0.911384011146087
2026-06-14,14,30,575000.0,244184.63764333335,268333.3333333333,0.9100048607826088,523252.79495,330815.36235666665,0.9100048607826087
2026-06-15,15,30,575000.0,266286.043488,287500.0,0.9262123251756521,532572.086976,308713.956512,0.9262123251756521
2026-06-16,16,30,575000.0,287479.8345536,306666.6666666667,0.9374342431095651,539024.689788,287520.1654464,0.9374342431095651
2026-06-17,17,30,575000.0,307470.12049256667,325833.3333333333,0.943642313532174,542594.330281,267529.87950743333,0.9436423135321739
2026-06-18,18,30,575000.0,327738.1316454,345000.0,0.9499655989721739,546230.219409,247261.86835459998,0.9499655989721739
2026-06-19,19,30,575000.0,346347.70265259995,364166.6666666666,0.9510692063686956,546864.793662,228652.29734740005,0.9510692063686956
2026-06-20,20,30,575000.0,362634.1292993333,383333.3333333333,0.9460020764330435,543951.193949,212365.87070066668,0.9460020764330435
2026-06-21,21,30,575000.0,380005.4664854,402500.0,0.9441129602121738,542864.952122,194994.5335146,0.944112960212174
2026-06-22,22,30,575000.0,405223.56714179995,421666.6666666666,0.9610045070556521,552577.591557,169776.43285820005,0.9610045070556521
2026-06-23,23,30,575000.0,431168.39758853335,440833.3333333334,0.9780757601252174,562393.562072,143831.60241146665,0.9780757601252174
2026-06-24,24,30,575000.0,455936.82986159995,460000.0,0.9911670214382607,569921.0373269999,119063.17013840005,0.9911670214382607
2026-06-25,25,30,575000.0,479073.8816866667,479166.6666666667,0.9998063617808696,574888.658024,95926.11831333331,0.9998063617808696
2026-06-26,26,30,575000.0,500111.81955540006,498333.3333333334,1.0035688686730435,577052.099487,74888.18044459994,1.0035688686730435
2026-06-27,27,30,575000.0,514858.19026139996,517500.0,0.9948950536452174,572064.655846,60141.809738600045,0.9948950536452174
2026-06-28,28,30,575000.0,533000.1031040001,536666.6666666666,0.993167893982609,571071.5390400002,41999.896895999904,0.993167893982609
2026-06-29,29,30,575000.0,562104.3339536333,555833.3333333334,1.0112821600365216,581487.2420209999,12895.666046366678,1.0112821600365216
2026-06-30,30,30,575000.0,586885.331884,575000.0,1.0206701424069564,586885.331884,-11885.331883999985,1.0206701424069564
2026-07-01,1,31,575000.0,19055.243838967745,18548.387096774193,1.0273261895791306,590712.5590080001,555944.7561610322,1.0273261895791306
2026-07-02,2,31,575000.0,38092.92278516129,37096.77419354839,1.0268527011652173,590440.30317,536907.0772148387,1.0268527011652173
2026-07-03,3,31,575000.0,57090.72368148387,55645.161290322576,1.025978222681739,589937.478042,517909.2763185161,1.025978222681739
2026-07-04,4,31,575000.0,75613.85135664516,74193.54838709677,1.0191432139373913,586007.348014,499386.1486433548,1.0191432139373913
2026-07-05,5,31,575000.0,94343.8173619355,92741.93548387097,1.0172724654678262,584931.667644,480656.1826380645,1.0172724654678262
